Titles,Fields,Salaries,Locations,Cities,Experiences,Enrollment_statuses,Educations,Dates
Музыка мектебі оқытушысы,Білім беру және тәрбиелеу,120 000 тг. бастап,Smart Choice,Алматы  қ.,1 жыл жұмыс өтілі,толық жұмыс күні,ортадан кейін,17.10.2024 жарияланды
Мұражай қараушысы,Мәдениет және спорт,88 969 тг. бастап,Қазақстан Республикасы Мәдениет және ақпарат министрлігі Мәдениет комитетінің Қазақстан Республикасының Ұлттық музейі Республикалық мемлекеттік қазыналық кәсіпорны,"Астана қ., ""Алматы"" ауданы",Еңбек өтілі жоқ,толық жұмыс күні,ортадан кейін,17.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 171 527 до 350 309 тг.,"Абай облысы білім басқармасының Бородулиха ауданы білім бөлімінің ""Переменовка орта мектебі"" коммуналдық мемлекеттік мекемесі","Абай облысы, Бородулиха ауданы, Переменовка а.",1 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Акушер,Медицина және фармацевтика,от 150 000 до 250 000 тг.,"Абай облысы денсаулық сақтау басқармасының ""Үржар ауданының көпсалалы орталық ауруханасы"" шаруашылық жүргізу құқығындағы коммуналдық мемлекеттік кәсіпорны","Абай облысы, Үржар ауданы, Үржар а.",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 200 000 до 220 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Абай атындағы Республикалық мамандандырылған дарынды балаларға арналған қазақ тілі мен әдебиетін тереңдете оқытатын орта мектеп-интернаты"" республикалық мемлекеттік мекемесі","Алматы  қ., Медеу ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Мектептің әлеуметтік жұмыс жөніндегі маманы,Білім беру және тәрбиелеу,230 000 тг. бастап,"Астана қаласы әкімдігінің ""№ 81 ""Astana English School"" халықаралық мектеп"" коммуналдық мемлекеттік мекемесі","Астана қ., ""Нұра"" ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Бағдарламалар және жобалар координаторы ( менеджері),Білім беру және тәрбиелеу,250 000 тг. бастап,"Астана қаласы әкімдігінің ""№ 81 ""Astana English School"" халықаралық мектеп"" коммуналдық мемлекеттік мекемесі","Астана қ., ""Нұра"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Сатып алу жөніндегі менеджер,Сауда және қоймалау,от 100 000 до 500 000 тг.,"""International Safety Standard"" жауапкершілігі шектеулі серіктестігі","Атырау облысы, Атырау қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,350 000 тг. бастап,"Астана қаласы әкімдігінің ""№ 81 ""Astana English School"" халықаралық мектеп"" коммуналдық мемлекеттік мекемесі","Астана қ., ""Нұра"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Химия пәнінің мұғалімі,Білім беру және тәрбиелеу,350 000 тг. бастап,"Астана қаласы әкімдігінің ""№ 81 ""Astana English School"" халықаралық мектеп"" коммуналдық мемлекеттік мекемесі","Астана қ., ""Нұра"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Жалпы практика дәрігері,Медицина және фармацевтика,100 000 тг. бастап,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№33 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны","Алматы  қ., Жетісу ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Мейіргер (жалпы бейін),Медицина және фармацевтика,100 000 тг. бастап,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№33 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны","Алматы  қ., Жетісу ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,17.10.2024 жарияланды
Халықаралық қатынастар жөніндегі маман,Маркетинг және БАҚ,от 200 000 до 230 000 тг.,"""Қазақстан Республикасы Мәдениет және ақпарат министрлігі Мәдениет комитетінің ""Абай атындағы Қазақ ұлттық опера және балет театры"" республикалық мемлекеттік қазыналық кәсіпорны","Алматы  қ., Алмалы ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Эколог,Ғылым және кеңес беру,от 150 000 до 250 000 тг.,"""Nomad Eco"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Нұра"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
PR-менеджер,Маркетинг және БАҚ,от 200 000 до 230 000 тг.,"""Қазақстан Республикасы Мәдениет және ақпарат министрлігі Мәдениет комитетінің ""Абай атындағы Қазақ ұлттық опера және балет театры"" республикалық мемлекеттік қазыналық кәсіпорны","Алматы  қ., Алмалы ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Орыс тілі мен әдебиеті мұғалімі,Білім беру және тәрбиелеу,от 100 000 до 120 000 тг.,«Батыс Қазақстан облысы әкімдігі білім басқармасының Қаратөбе ауданы білім беру бөлімінің «Соналы жалпы орта білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Батыс Қазақстан облысы, Қаратөбе ауданы, Соналы а.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,17.10.2024 жарияланды
